case,time,actual_cycles,second_cycles,fourth_cycles,actual_a,predicted_a
base-broad,6.2,0.0,1.5891763393782404e-153,1.5891763393782245e-153,3.504547458927148e-141,-1.1380217305438397e-136
base-broad,6.2250000000000005,0.0,7.249765178108928e-153,7.249765178108854e-153,1.4566215901411847e-140,-4.3756080220720576e-136
base-broad,6.25,0.0,3.2749466416366413e-152,3.274946641636607e-152,6.015753774420306e-140,-1.6720653841570225e-135
base-broad,6.275,0.0,1.4653978414783282e-151,1.4653978414783124e-151,2.4687815555414654e-139,-6.350602835613823e-135
base-broad,6.3,0.0,6.496867528467483e-151,6.496867528467411e-151,1.0068044312565942e-138,-2.3974144564125963e-134
base-broad,6.325,0.0,2.854710584534195e-150,2.854710584534163e-150,4.080352738515943e-138,-8.996159334051374e-134
base-broad,6.3500000000000005,0.0,1.2434571288925919e-149,1.2434571288925776e-149,1.6434651003977623e-137,-3.355646153892226e-133
base-broad,6.375,0.0,5.370338001128517e-149,5.370338001128454e-149,6.57889967070878e-137,-1.244282807760501e-132
base-broad,6.4,0.0,2.3001582624874957e-148,2.300158262487468e-148,2.61755380864477e-136,-4.5867456409223876e-132
base-broad,6.425,7.613921246194803e-18,9.771816705216934e-148,9.771816705216813e-148,1.035158605726304e-135,-1.6809364690583943e-131
base-broad,6.45,0.0,4.118362237132918e-147,4.1183622371328656e-147,4.0691736041088643e-135,-6.124593667689549e-131
base-broad,6.4750000000000005,0.0,1.7221472898021257e-146,1.7221472898021035e-146,1.5900562128028982e-134,-2.218710495142602e-130
base-broad,6.5,0.0,7.146161797885655e-146,7.14616179788556e-146,6.176527073821079e-134,-7.991700393086123e-130
base-broad,6.525,0.0,2.9429876912888355e-145,2.9429876912887957e-145,2.385175224905518e-133,-2.8622697751487858e-129
base-broad,6.55,0.0,1.2030114833737065e-144,1.2030114833736898e-144,9.157112331139738e-133,-1.0193707280545967e-128
base-broad,6.575,0.0,4.881646619883241e-144,4.8816466198831716e-144,3.495241097100952e-132,-3.610116201203346e-128
