grid,r,phi,Z,mode
wide,8.675,0.4967935985993871,1.0493607759218657,0.032697506349960825
wide,8.725,0.4894708556997018,1.0479163437158796,0.032167653923398196
wide,8.775,0.4820892690744451,1.0464820126713466,0.03164346254029054
wide,8.825000000000001,0.4746561916708359,1.0450597000582922,0.031125012353784273
wide,8.875,0.4671790701913726,1.0436512567249752,0.030612378169216643
wide,8.925,0.4596654105716575,1.042258457935202,0.030105629327418407
wide,8.975,0.45212274364977934,1.0408829950650809,0.02960482960846906
wide,9.025,0.44455859136949655,1.0395264682320862,0.029110037156458626
wide,9.075000000000001,0.4369804338415759,1.0381903799120744,0.028621304425597315
wide,9.125,0.42939567756465524,1.036876129582242,0.028138678147799898
wide,9.175,0.4218116250796691,1.0355850094104702,0.027662199321661102
wide,9.225,0.41423544630103243,1.0343182009944432,0.027191903222533318
wide,9.275,0.4066741517342655,1.0330767731377568,0.026727819433224134
wide,9.325000000000001,0.39913456775449346,1.0318616806353134,0.02626997189464961
wide,9.375,0.3916233140840945,1.030673764026842,0.025818378975613846
wide,9.425,0.38414678357157805,1.0295137502656777,0.025373053560737824
wide,9.475,0.3767111243382817,1.0283822542400425,0.024934003155432077
wide,9.525,0.36932222432540035,1.0272797810761323,0.02450123000669973
wide,9.575000000000001,0.3619856982417742,1.026206729146317,0.024074731238469923
wide,9.625,0.3547068768832623,1.0251633937016555,0.023654499000095624
wide,9.675,0.3474907987677901,1.0241499710456554,0.0232405206266048
wide,9.725000000000001,0.34034220400655124,1.0231665631656073,0.022832778809268938
wide,9.775,0.3332655303115338,1.0222131827387655,0.022431251775046287
wide,9.825000000000001,0.3262649110225986,1.0212897584329168,0.022035913473468557
wide,9.875,0.31934417502373724,1.0203961404243183,0.02164673376956681
wide,9.925,0.31250684840779136,1.0195321060603542,0.021263678641472876
wide,9.975000000000001,0.3057561577416602,1.0186973655993885,0.020886710381386273
wide,10.025,0.2990950347796502,1.0178915679659681,0.020515787798659868
wide,10.075000000000001,0.2925261224708765,1.0171143064655692,0.02015086642382953
wide,10.125,0.2860517821072466,1.0163651244093463,0.01979189871249134
wide,10.175,0.27967410146123034,1.0156435206056293,0.019438834248013355
wide,10.225000000000001,0.2733949037670756,1.0149489546811616,0.019091619942155268
wide,10.275,0.2672157574050464,1.0142808522011104,0.01875020023275734
wide,10.325000000000001,0.26113798615537287,1.0136386095626568,0.018414517277748396
wide,10.375,0.2551626798966339,1.0130215986424065,0.018084511144810148
wide,10.425,0.24929070563198855,1.012429171182899,0.017760119996120368
wide,10.475000000000001,0.24352271873581796,1.0118606629080968,0.017441280267680402
wide,10.525,0.23785917432271442,1.0113153973618967,0.01712792684281132
wide,10.575000000000001,0.23230033865019803,1.0107926894673993,0.016819993219478108
wide,10.625,0.22684630047588775,1.0102918488079193,0.0165174116711717
wide,10.675,0.22149698229898396,1.0098121826335114,0.016220113401144133
wide,10.725000000000001,0.2162521514247232,1.0093529985991643,0.015928028689852526
wide,10.775,0.21111143079886474,1.0089136072427887,0.01564108703552313
wide,10.825000000000001,0.20607430956719477,1.0084933242127192,0.015359217287796559
wide,10.875,0.2011401533224502,1.0080914722557157,0.015082347774460651
wide,10.925,0.19630821400793017,1.0077073829773966,0.01481040642131736
wide,10.975000000000001,0.19157763945337664,1.0073403983877056,0.014543320865265552
wide,11.025,0.18694748252445198,1.0069898722444461,0.01428101856071233
wide,11.075000000000001,0.18241670987233133,1.0066551712081293,0.01402342687945199
wide,11.125,0.17798421027457859,1.006335675821413,0.013770473204174337
wide,11.175,0.1736488025625963,1.0060307813262848,0.013522085015782653
wide,11.225000000000001,0.16940924313457167,1.0057398983318857,0.01327818997471709
wide,11.275,0.16526423305599736,1.0054624533455174,0.013038715996491212
