time,radius,case,a,chi
24.0,6.5,5,-0.009001443930130972,-0.00046906030333963334
24.0,6.9,5,-0.006054964679070939,-0.00042775841350296026
24.0,7.300000000000001,5,-0.003257511328485278,-0.0003869241231731628
24.0,7.7,5,-0.0012897464421522343,-0.00034711314669204937
24.0,8.1,5,-0.0002996756051751553,-0.00030890168909995526
24.0,8.5,5,3.1051813930463655e-05,-0.0002728459842384653
24.0,8.9,5,9.870310107481488e-05,-0.00023942404482872297
24.0,9.3,5,0.00010312405117872895,-0.00020897611756513396
24.0,9.700000000000001,5,9.867355790004013e-05,-0.00018166805307389783
24.0,10.100000000000001,5,9.409492387506305e-05,-0.00015749254383392043
24.0,10.5,5,9.018168797094989e-05,-0.00013630324875263134
24.0,10.9,5,8.690107271935343e-05,-0.00011786358172697297
24.0,11.3,5,8.415839083061492e-05,-0.00010189279588760549
24.0,11.700000000000001,5,8.186186389105045e-05,-8.810046107992636e-05
24.0,12.100000000000001,5,7.990660383273795e-05,-7.620810804467401e-05
24.0,12.5,5,7.817430982477117e-05,-6.59606233583935e-05
24.0,12.9,5,7.657251875249009e-05,-5.713077534042966e-05
24.0,13.3,5,7.500032514338298e-05,-4.951967717151354e-05
24.0,13.700000000000001,5,7.33811745660656e-05,-4.295511630997766e-05
24.0,14.100000000000001,5,7.166298698465445e-05,-3.7288936412028105e-05
24.0,14.5,5,6.977254930324641e-05,-3.2394142916202325e-05
24.0,14.9,5,6.769151138777028e-05,-2.8162082093789146e-05
24.0,15.3,5,6.539764320555872e-05,-2.4499856187322958e-05
24.0,15.700000000000001,5,6.28449494952157e-05,-2.132803413232738e-05
24.0,16.1,5,6.001703571616585e-05,-1.8578663785524065e-05
24.0,16.5,5,5.690860757769915e-05,-1.6193565988205904e-05
24.0,16.900000000000002,5,5.348019258549924e-05,-1.4122880400770935e-05
24.0,17.3,5,4.970713861883984e-05,-1.2323830577234403e-05
24.0,17.7,5,4.563110964874148e-05,-1.0759677119812866e-05
24.0,18.1,5,4.106419571187002e-05,-9.398830807730584e-06
24.0,18.5,5,3.5985410390280375e-05,-8.21410110772954e-06
24.0,18.900000000000002,5,3.0665283492493984e-05,-7.182058928378815e-06
24.0,19.3,5,2.5261490358273654e-05,-6.282495670190551e-06
24.0,19.700000000000003,5,1.960029804734887e-05,-5.497963405000339e-06
