triad,order,radius,direction,group_x,group_y,group_z,cone_x,cone_y,cone_z
orthogonal,reverse,0.07999999999999999,9,0.04001065718461927,-0.7065405668985058,-0.7065405668985058,0.0,-0.7071067811865476,-0.7071067811865476
orthogonal,reverse,0.08,10,0.0,-1.000000000001,0.0,0.0,-1.0,0.0
orthogonal,reverse,0.07999999999999999,11,-0.04001065718600705,-0.7065405668957302,0.706540566897118,0.0,-0.7071067811865476,0.7071067811865476
orthogonal,reverse,0.08,12,0.0,0.0,-1.000000000001,0.0,0.0,-1.0
orthogonal,reverse,0.08,13,0.0,0.0,1.000000000001,0.0,0.0,1.0
orthogonal,reverse,0.07999999999999999,14,-0.04001065718461927,0.7065405668985058,-0.7065405668985058,0.0,0.7071067811865476,-0.7071067811865476
orthogonal,reverse,0.08,15,0.0,1.000000000001,0.0,0.0,1.0,0.0
orthogonal,reverse,0.07999999999999999,16,0.04001065718600705,0.7065405668957302,0.706540566897118,0.0,0.7071067811865476,0.7071067811865476
orthogonal,reverse,0.08000000000000002,17,0.594323698692445,-0.5943236986882816,-0.5943236986910572,0.5773502691896257,-0.5773502691896257,-0.5773502691896257
orthogonal,reverse,0.07999999999999999,18,0.706540566897118,-0.7065405668985058,-0.04001065718461927,0.7071067811865476,-0.7071067811865476,0.0
orthogonal,reverse,0.08000000000000002,19,0.5587344695592855,-0.5587344695620611,0.5587344695578977,0.5773502691896257,-0.5773502691896257,0.5773502691896257
orthogonal,reverse,0.07999999999999999,20,0.706540566897118,-0.04001065719294594,-0.7065405669012813,0.7071067811865476,0.0,-0.7071067811865476
orthogonal,reverse,0.08,21,1.000000000001,0.0,0.0,1.0,0.0,0.0
orthogonal,reverse,0.07999999999999999,22,0.7065405668985058,0.04001065719294594,0.706540566897118,0.7071067811865476,0.0,0.7071067811865476
orthogonal,reverse,0.08000000000000002,23,0.55873446955651,0.5587344695620611,-0.5587344695578977,0.5773502691896257,0.5773502691896257,-0.5773502691896257
orthogonal,reverse,0.07999999999999999,24,0.706540566897118,0.7065405668998935,0.04001065718461927,0.7071067811865476,0.7071067811865476,0.0
orthogonal,reverse,0.08000000000000002,25,0.5943236986938327,0.594323698692445,0.594323698692445,0.5773502691896257,0.5773502691896257,0.5773502691896257
orthogonal,reverse,0.16000000000000003,0,-0.5383750228071804,-0.538375022809956,-0.5383750228127315,-0.5773502691896257,-0.5773502691896257,-0.5773502691896257
orthogonal,reverse,0.15999999999999998,1,-0.7048355791794413,-0.7048355791738902,0.08008503088186014,-0.7071067811865476,-0.7071067811865476,0.0
orthogonal,reverse,0.16000000000000003,2,-0.6097545963923423,-0.6097545963923423,0.6097545963923423,-0.5773502691896257,-0.5773502691896257,0.5773502691896257
orthogonal,reverse,0.15999999999999998,3,-0.7048355791766657,0.0800850308846357,-0.7048355791738902,-0.7071067811865476,0.0,-0.7071067811865476
orthogonal,reverse,0.16,4,-1.0000000000037756,0.0,0.0,-1.0,0.0,0.0
orthogonal,reverse,0.15999999999999998,5,-0.7048355791794413,-0.0800850308846357,0.7048355791738902,-0.7071067811865476,0.0,0.7071067811865476
orthogonal,reverse,0.16000000000000003,6,-0.6097545963923423,0.6097545963923423,-0.6097545963923423,-0.5773502691896257,0.5773502691896257,-0.5773502691896257
orthogonal,reverse,0.15999999999999998,7,-0.7048355791766657,0.7048355791738902,-0.08008503088186014,-0.7071067811865476,0.7071067811865476,0.0
orthogonal,reverse,0.16000000000000003,8,-0.538375022809956,0.5383750228127315,0.538375022809956,-0.5773502691896257,0.5773502691896257,0.5773502691896257
